issue,source_row,sub_name,rel_type,rel_name,obj_name,detail
incomplete_triple,268,硬X射线成像线站,,,,subject/relation/object 至少一项为空
incomplete_triple,307,高分辨纳米电子结构线站,,,,subject/relation/object 至少一项为空
incomplete_triple,308,光学测试线站,,,,subject/relation/object 至少一项为空
exact_duplicate_group,39;42,1W2A-小角散射实验站,,实验技术,广角X射线散射（WAXS）,出现 2 次
exact_duplicate_group,184;197,工程材料线站,,光斑参数,50–170 keV,出现 2 次
exact_duplicate_group,185;198,工程材料线站,,光斑参数,10^{-3},出现 2 次
exact_duplicate_group,187;200,工程材料线站,,光斑参数,2×10^{12} phs/s（@100 keV，200 mA，非聚焦）,出现 2 次
exact_duplicate_group,189;207,工程材料线站,,实验技术,单晶衍射,出现 2 次
exact_duplicate_group,190;208,工程材料线站,,实验技术,粉末衍射,出现 2 次
exact_duplicate_group,194;209,工程材料线站,,实验技术,全场/扫描+吸收/相衬+投影成像/CT,出现 2 次
exact_duplicate_group,196;206,工程材料线站,,实验技术,PDF,出现 2 次
exact_duplicate_group,241;244,硬X射线相干散射线站,,光斑参数,分辨率1–10 nm；,出现 2 次
exact_duplicate_group,248;251,硬X射线相干散射线站,,光斑参数,时间尺度1000 s–1 μs。,出现 2 次
relation_label_mismatch,24,1W1A-漫散射实验站,能量范围,光斑参数,8.05 keV(不可调),rel_type 与 rel_name 不相同
relation_label_mismatch,25,1W1A-漫散射实验站,能量分辨率,光斑参数,能量分辨率（△E/E）<4.4×10-4 @ 8.05 keV,rel_type 与 rel_name 不相同
relation_label_mismatch,26,1W1A-漫散射实验站,样品处光子通量,光斑参数,样品处光子通量（phs/s）>1×1011 @ 8.05 keV,rel_type 与 rel_name 不相同
relation_label_mismatch,27,1W1A-漫散射实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：1(H)×0.4(V) mm2,rel_type 与 rel_name 不相同
