scene_id,level,system,dimension,score,n_ratings
L1-1,L1,RAG,Correctness,7.666666666666667,9
L1-1,L1,RAG,Usefulness,7.666666666666667,9
L1-1,L1,RAG,Safety,7.888888888888889,9
L1-1,L1,No-RAG,Correctness,5.777777777777778,9
L1-1,L1,No-RAG,Usefulness,6.666666666666667,9
L1-1,L1,No-RAG,Safety,7.333333333333333,9
L1-2,L1,RAG,Correctness,9.0,9
L1-2,L1,RAG,Usefulness,8.444444444444445,9
L1-2,L1,RAG,Safety,8.11111111111111,9
L1-2,L1,No-RAG,Correctness,6.555555555555555,9
L1-2,L1,No-RAG,Usefulness,7.666666666666667,9
L1-2,L1,No-RAG,Safety,7.666666666666667,9
L1-3,L1,RAG,Correctness,9.0,9
L1-3,L1,RAG,Usefulness,8.333333333333334,9
L1-3,L1,RAG,Safety,7.888888888888889,9
L1-3,L1,No-RAG,Correctness,7.555555555555555,9
L1-3,L1,No-RAG,Usefulness,8.222222222222221,9
L1-3,L1,No-RAG,Safety,7.222222222222222,9
L1-4,L1,RAG,Correctness,9.11111111111111,9
L1-4,L1,RAG,Usefulness,9.0,9
L1-4,L1,RAG,Safety,8.0,9
L1-4,L1,No-RAG,Correctness,7.888888888888889,9
L1-4,L1,No-RAG,Usefulness,8.11111111111111,9
L1-4,L1,No-RAG,Safety,7.333333333333333,9
L1-5,L1,RAG,Correctness,9.555555555555555,9
L1-5,L1,RAG,Usefulness,9.333333333333334,9
L1-5,L1,RAG,Safety,8.444444444444445,9
L1-5,L1,No-RAG,Correctness,7.555555555555555,9
L1-5,L1,No-RAG,Usefulness,8.11111111111111,9
L1-5,L1,No-RAG,Safety,8.0,9
L1-6,L1,RAG,Correctness,9.333333333333334,9
L1-6,L1,RAG,Usefulness,9.333333333333334,9
L1-6,L1,RAG,Safety,8.222222222222221,9
L1-6,L1,No-RAG,Correctness,2.888888888888889,9
L1-6,L1,No-RAG,Usefulness,3.2222222222222223,9
L1-6,L1,No-RAG,Safety,4.777777777777778,9
L2-1,L2,RAG,Correctness,9.555555555555555,9
L2-1,L2,RAG,Usefulness,9.333333333333334,9
L2-1,L2,RAG,Safety,8.555555555555555,9
L2-1,L2,No-RAG,Correctness,4.777777777777778,9
L2-1,L2,No-RAG,Usefulness,5.777777777777778,9
L2-1,L2,No-RAG,Safety,6.444444444444445,9
L2-2,L2,RAG,Correctness,9.555555555555555,9
L2-2,L2,RAG,Usefulness,9.333333333333334,9
L2-2,L2,RAG,Safety,9.444444444444445,9
L2-2,L2,No-RAG,Correctness,5.222222222222222,9
L2-2,L2,No-RAG,Usefulness,5.111111111111111,9
L2-2,L2,No-RAG,Safety,6.0,9
L2-3,L2,RAG,Correctness,7.111111111111111,9
L2-3,L2,RAG,Usefulness,7.888888888888889,9
