run,item_number,scene_id,question,level,system,dimension,expert,score
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Correctness,1,9
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Correctness,2,9
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Correctness,3,9
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Correctness,1,4
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Correctness,2,7
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Correctness,3,6
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Usefulness,1,8
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Usefulness,2,8
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Usefulness,3,8
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Usefulness,1,5
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Usefulness,2,8
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Usefulness,3,5
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Safety,1,6
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Safety,2,10
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,RAG,Safety,3,8
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Safety,1,6
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Safety,2,10
1,1,L1-1,我有一片薄膜样品，想测量薄膜的厚度和表面粗糙度，一般应该选择哪种测试技术？,L1,No-RAG,Safety,3,8
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Correctness,1,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Correctness,2,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Correctness,3,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Correctness,1,5
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Correctness,2,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Correctness,3,7
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Usefulness,1,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Usefulness,2,8
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Usefulness,3,8
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Usefulness,1,7
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Usefulness,2,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Usefulness,3,7
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Safety,1,7
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Safety,2,10
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,RAG,Safety,3,8
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Safety,1,7
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Safety,2,9
1,2,L1-2,我想研究薄膜表面的纳米颗粒、自组装结构等纳米尺度形貌，一般适合用哪种实验技术？,L1,No-RAG,Safety,3,7
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Correctness,1,10
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Correctness,2,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Correctness,3,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Correctness,1,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Correctness,2,8
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Correctness,3,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Usefulness,1,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Usefulness,2,8
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Usefulness,3,8
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Usefulness,1,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Usefulness,2,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Usefulness,3,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Safety,1,6
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Safety,2,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,RAG,Safety,3,8
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Safety,1,5
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Safety,2,9
1,3,L1-3,我想研究材料中局域原子结构和价态变化，常规应该选择什么技术？,L1,No-RAG,Safety,3,6
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Correctness,1,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Correctness,2,10
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Correctness,3,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Correctness,1,8
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Correctness,2,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Correctness,3,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Usefulness,1,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Usefulness,2,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Usefulness,3,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Usefulness,1,7
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Usefulness,2,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Usefulness,3,8
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Safety,1,7
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Safety,2,9
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,RAG,Safety,3,8
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Safety,1,6
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Safety,2,10
1,4,L1-4,我想做三维成像看内部微观结构，一般可以选择哪类实验技术？,L1,No-RAG,Safety,3,6
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Correctness,1,9
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Correctness,2,10
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Correctness,3,9
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Correctness,1,6
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Correctness,2,10
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Correctness,3,8
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Usefulness,1,9
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Usefulness,2,10
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Usefulness,3,9
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Usefulness,1,7
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Usefulness,2,10
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Usefulness,3,8
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Safety,1,7
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Safety,2,10
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,RAG,Safety,3,8
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Safety,1,7
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Safety,2,10
1,5,L1-5,高能同步辐射HEPS装置的设备参数是什么？,L1,No-RAG,Safety,3,8
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Correctness,1,9
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Correctness,2,10
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Correctness,3,9
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Correctness,1,1
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Correctness,2,3
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Correctness,3,2
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Usefulness,1,9
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Usefulness,2,10
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Usefulness,3,9
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Usefulness,1,1
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Usefulness,2,5
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Usefulness,3,3
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Safety,1,6
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Safety,2,10
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,RAG,Safety,3,8
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Safety,1,4
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Safety,2,5
1,6,L1-6,北京同步辐射装置和高能同步辐射装置分别有几条线站，分别是哪些？,L1,No-RAG,Safety,3,5
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Correctness,1,9
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Correctness,2,10
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Correctness,3,9
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Correctness,1,4
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Correctness,2,6
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,No-RAG,Correctness,3,4
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Usefulness,1,9
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Usefulness,2,10
1,7,L2-1,我有一批薄膜，计划在 1W1A-漫散射实验站做 GIWAXS 批量测试。请问在 1W1A 进行 GIWAXS 测量时，样品的推荐尺寸和基底要求是什么？,L2,RAG,Usefulness,3,9
