issue,source_row,sub_name,rel_type,rel_name,obj_name,detail
exact_duplicate_group,160;188,X射线光学计量标准测定,,研究内容,X射线光学计量标准测定,出现 2 次
exact_duplicate_group,163;186,近边X射线吸收谱（XANES）,,研究内容,分析元素的价态,出现 2 次
exact_duplicate_group,164;187,近边X射线吸收谱（XANES）,,研究内容,化合物组成及费米能级附近的空态电子结构。,出现 2 次
self_loop_candidate,65,纳米光刻,研究内容,研究内容,纳米光刻,subject 与 object 相同
self_loop_candidate,158,X射线探测器标准传递和标定,研究内容,研究内容,X射线探测器标准传递和标定,subject 与 object 相同
self_loop_candidate,159,光学元件的透射比,研究内容,研究内容,光学元件的透射比,subject 与 object 相同
self_loop_candidate,160,X射线光学计量标准测定,研究内容,研究内容,X射线光学计量标准测定,subject 与 object 相同
self_loop_candidate,161,反射率标定,研究内容,研究内容,反射率标定,subject 与 object 相同
self_loop_candidate,162,衍射效率标定,研究内容,研究内容,衍射效率标定,subject 与 object 相同
self_loop_candidate,191,光学元件的反射率标定,研究内容,研究内容,光学元件的反射率标定,subject 与 object 相同
relation_label_mismatch,15,1W1B-XAFS实验站,样品制备,粉末样品制样（抹胶带法）步骤,第一步：准备好：3M 胶#810-CQ33（19mm）、A4 纸、研钵、称量勺、样品框、塑胶手套、待制备样品。 第二步：取适量样品，研磨至 400 目以下。 第三步：截取胶带长约 20cm，粘贴面朝上，两端贴在 A4 纸上固定。 第四步：将研磨好的样品均匀撒于胶带上，用手指涂抹均匀。 抖落胶带表面残留的粉末，将胶带对折成 4 层或 8 层。 将处理好的胶带固定于样品框上，等待测试。后续可根据预扫描的信号调整胶带的厚度。 样品制备结束后，及时清理实验台。,rel_type 与 rel_name 不相同
relation_label_mismatch,16,1W1B-XAFS实验站,样品制备,液体样品制备,第一步：准备好聚酰亚胺胶带、聚四氟样品架、一次性注射器（1ml）和剪刀。 第二步：截取适量聚酰亚胺胶带，将聚四氟样品架窗口完全封紧。 第三步：用一次性注射器抽取适量液体样品。 第四步：在窗口边缘扎一个小孔，将样品注射进去（注入样品时不要注满，一般情况下注入四分之三即可），擦去残留样品。 第五步：取适量胶带将小孔封紧，将制备好的液体样品垂直放置。 第六步：将注射器的针头盖好，投入利器盒中，并将实验台收拾整洁。,rel_type 与 rel_name 不相同
relation_label_mismatch,17,1W1B-XAFS实验站,样品制备,粉末样品压片,第一步：准备好模具、研钵、称量勺、称量纸、3M 胶带（#810-CQ33）等。清洁模具中各个可能接触到样品的表面，备用。 第二步：透射样品： 先用 thickness 软件包中的 sample 计算得到所需的样品用量，若量太少可以掺杂适量的 BN 或其他试剂（低 Z 元素，起压片成型的作用），保证能压成片。一般 BN 的用量 50-60mg，即可压成片。荧光样品：用量要求不高，只需能压成片即可。通常片的厚度最好不要超过 1mm。 第三步：压片 研磨：称取适量样品，用研钵把样品颗粒尽量研磨细小，颗粒大小四百目（3um 以下），手感像面粉；同时加入掺杂的 BN 或其他试剂研磨，混合均匀，备用。 第四步：组装模具：用镊子放入垫块 1—— 装入研磨好的样品粉末（晃一晃，使粉末分布均匀）—— 再放入垫块 2—— 放入压杆，轻轻旋转压杆。 第五步： 压片机操作： 将模具放到压片机上，调整位置，确保模具处于螺旋压杆的中心，旋紧螺旋杆。 加压：将加压手柄上下摆动，直到压力表示数由 0 变大到一定值（单位 MPa），停止加压。保持压力 2-5 分钟。压力大小和时间与样品材料有关，建议使用 8mm 以上模具，具体参考： 直径6mm模具，样品总质量约 40mg，压力示数约为 1（不大于 3） 直径8mm模具，样品总质量约 60mg，压力示数约为 4（不大于 6） 直径10mm模具，样品总质量约 80mg，压力示数约,rel_type 与 rel_name 不相同
