issue,source_row,sub_name,rel_type,rel_name,obj_name,detail
exact_duplicate_group,160;188,X-ray optical metrology standard determination,,Research content,X-ray optical metrology standard determination,appear2 times
exact_duplicate_group,163;186,Near-edge X-ray absorption spectroscopy (XANES),,Research content,Analyze the valence state of elements,appear2 times
exact_duplicate_group,164;187,Near-edge X-ray absorption spectroscopy (XANES),,Research content,Compound composition and empty state electronic structure near the Fermi level.,appear2 times
self_loop_candidate,65,nanolithography,Research content,Research content,nanolithography,subject withobject Same
self_loop_candidate,158,X-ray detector standard transfer and calibration,Research content,Research content,X-ray detector standard transfer and calibration,subject withobject Same
self_loop_candidate,159,Transmittance of optical components,Research content,Research content,Transmittance of optical components,subject withobject Same
self_loop_candidate,160,X-ray optical metrology standard determination,Research content,Research content,X-ray optical metrology standard determination,subject withobject Same
self_loop_candidate,161,Reflectance calibration,Research content,Research content,Reflectance calibration,subject withobject Same
self_loop_candidate,162,Diffraction efficiency calibration,Research content,Research content,Diffraction efficiency calibration,subject withobject Same
self_loop_candidate,191,Reflectivity Calibration of Optical Components,Research content,Research content,Reflectivity Calibration of Optical Components,subject withobject Same
relation_label_mismatch,15,1W1B-XAFS Experiment Station,Sample preparation,Powder sample preparation (tape method) steps,"Step 1: Prepare: 3M glue #810-CQ33 (19mm), A4 paper, mortar, weighing spoon, sample frame, plastic gloves, and samples to be prepared. Step 2: Take an appropriate amount of sample and grind it to less than 400 mesh. Step 3: Cut a piece of tape about 20cm long, with the pasting side facing up, and fix both ends on the A4 paper. Step 4: Spread the ground sample evenly on the tape and spread it evenly with your fingers. Shake off any remaining powder on the surface of the tape and fold the tape in half into 4 or 8 layers. Fix the processed tape on the sample frame and wait for testing. The thickness of the tape can be adjusted later based on the pre-scanned signal. After sample preparation, clean the experimental bench in time.",rel_type withrel_name Not the same
relation_label_mismatch,16,1W1B-XAFS Experiment Station,Sample preparation,Liquid sample preparation,"Step 1: Prepare polyimide tape, Teflon sample holder, disposable syringe (1ml) and scissors. Step 2: Cut off an appropriate amount of polyimide tape and completely seal the window of the PTFE sample holder. Step 3: Use a disposable syringe to draw an appropriate amount of liquid sample. Step 4: Poke a small hole on the edge of the window, inject the sample into it (do not fill it full when injecting the sample, usually three-quarters is sufficient), and wipe off the remaining sample. Step 5: Take an appropriate amount of tape to seal the small hole tightly, and place the prepared liquid sample vertically. Step 6: Cover the needle of the syringe, put it into the sharps box, and tidy the experimental table.",rel_type withrel_name Not the same
relation_label_mismatch,17,1W1B-XAFS Experiment Station,Sample preparation,Powder sample pressing,"Step 1: Prepare the mold, mortar, weighing spoon, weighing paper, 3M tape (#810-CQ33), etc. Clean all surfaces in the mold that may come into contact with the sample and set aside. Step 2: Transmission sample: First use the sample in the thickness software package to calculate the required sample amount. If the amount is too small, you can add an appropriate amount of BN or other reagents (low Z elements, which play a role in tableting and molding) to ensure that it can be pressed into tablets. Generally, the dosage of BN is 50-60mg, which can be pressed into tablets. Fluorescent sample: The dosage requirement is not high, as long as it can be pressed into tablets. Usually the thickness of the sheet should not exceed 1mm. Step 3: Tablet pressing Grinding: Weigh an appropriate amount of sample and use a mortar to grind the sample particles as small as possible. The particle size is 400 mesh (less than 3um) and feels like flour. At the same time, add doped BN or other reagents to grind, mix evenly, and set aside. Step 4: Assemble the mold: Use tweezers to put in the pad 1 - put in the ground sample powder (shake it to make the powder evenly distributed) - then put in the pad 2 - put in the pressure rod, and gently rotate the pressure rod. Step 5: Tablet press operation: Place the mold on the tablet press, adjust the position to ensure that the mold is in the center of the screw rod, and tighten the screw rod. Pressurizing: Swing the pressurizing handle up and down until the pressure indication increases from 0 to a certain value (unit: MPa), then stop pressurizing. Maintain pressure for 2-5 minutes. The pressure size and time are related to the sample material. It is recommended to use a mold with a diameter of 8mm or above. For specific reference: The diameter of the mold is 6mm, the total mass of the sample is about 40mg, and the pressure indicator is about 1 (not more than 3) The diameter of the mold is 8mm, the total mass of the sample is about 60mg, and the pressure indication is about 4 (not more than 6) The diameter of the mold is 10mm, the total mass of the sample is about 80mg, and the pressure indicator is about",rel_type withrel_name Not the same
relation_label_mismatch,18,1W1B-XAFS Experiment Station,Experimental steps,Transmission XAFS experimental procedures,"1) Optical path alignment and detection • Harness adjustment The main optical components of the beam line are slits and double crystal monochromators, and their spatial positions are crucial to the beam quality. The user is advised not to adjust the wiring harness components without authorization. •Set laser collimated beam There is a laser beam in the experimental shed, which coincides with the X-beam trace and is used as the basis for collimating the ionization chamber and the sample. Accurate. Use X-ray sensitive paper to expose X-rays at two points, and determine the direction of the laser beam through the spatial positions of the two spots. When the sample is <5mm, or there is a special sample cell, you can ask the person on duty to calibrate the laser collimated beam to avoid the spot position being different from the sample. If the deviation is too large, the laser beam direction must not be changed without permission. 2) Adjust the detuning of monochromatic light •Why should we adjust the detuning degree? The monochromatic (monoenergetic) X-beam used in the experiment contains high-order harmonic components. The high-order components generate background noise and reduce Get the quality of your data. Fine-tuning the detuning (parallelism) of the twin crystals in the monochromator can effectively suppress higher harmonics in the beam. Portion. However, excessive detuning causes too much fundamental wave intensity loss, which is undesirable. For different experiments, set up appropriate The appropriate degree of detuning is important for improving the quality of spectrum acquisition. 3) Select the working gas ratio of the ionization chamber •Why it is necessary to change the gas ratio In this transmission XAFS experimental system, two flow-type ionization chambers are used to detect the X-ray intensity before and after the sample. The size of the chamber's absorption of X-rays is related to the type of working gas and the energy of X-rays. From theoretical analysis, it can be known that the front ionization chamber absorbs When the absorption is 20% and the post-ionization chamber absorption is more than 80%, the signal-to-noise ratio of the data obtained in the experiment is the highest. Simultaneous front and rear ionization chamber work The higher the gas consistency, the better it is to eliminate the glitch caused by the fluctuation of the light source and the monochromator on the spectrum data. influence. When changing the energy range of the monochromator during the experiment, it is necessary to change the ratio of the working gas or use a different length of ionization chamber to keep the absorption rate and gas type of the front and rear ionization chambers consistent. •Operation This site is equipped with three lengths of ionization chambers: 5cm, 17cm, and 31cm, as well as pure nitrogen and pure argon. The ratio of nitrogen to argon is 75:25. Five different ratios of working gas: 50:50 and 25:75. Figure 4 shows the results of different lengths under 20% absorption. The scanning energy range applicable to the ratio of different gases in the ionization chamber. For the selection of the front ionization chamber and its working gas, please refer to this Figure. Figure 5 shows the absorption ratio and incident light energy of a 31cm long ionization chamber under five different gas ratios. The relationship curve of the post-ionization chamber gas selection can refer to this figure. 4) Sample preparation, installation and thickness adjustment •Adjust sample thickness It can be seen from theoretical calculation that when  .t is a certain value, the best signal-to-noise ratio can be obtained. The commonly used sample thickness t is obtained by pressing  and then .t- before.t=1~1.5, where after is the  value after the absorption limit, and before is the  value before the absorption limit. From the spectrum, After.t-Fore.t is absorption. The height of the limit jump edge. The actual situation is more complicated. Due to the diverse composition of various elements in the sample, some samples cannot be analyzed. The above requirements are met, and the difference does not change monotonically with the increase of t. If the sample is too thick or too thin, the jump limit height will be decrease, the optimal value can only be found through experimentation. For thickness testing, see Part 4 of the XAFS data acquisition software. Through testing, a spectrum near the absorption edge can be obtained, adjust the sample thickness according to its edge jump height value, and repeat the above steps. Until the jump edge height reaches or is closest to 0.6~1.6. •Sample preparation For transmission XAFS experiments, it is recommended to use powder samples with a powder fineness of 400#. Take a width of 1-2cm Tape (3M brand tape is recommended) about 20cm, sprinkle the powder evenly on the adhesive surface and spread evenly, fold the tape to Easily adjust thickness. This site is equipped with a tablet press, and powder samples can also be pressed into tablets for sample preparation. For flaky samples that cannot be made into powder by spinning or sintering, the thickness should be controlled below 100m and the area should be larger than 5×10mm and must not have holes. Prepare 2 to 3 pieces for thickness adjustment. For liquid state samples, it is recommended to use a sample box. 5) Settings of data acquisition electronic system •User concerns In the data acquisition electronics system, what users need to pay attention to are the two preamplifiers placed on the lower floor of the experimental shed. (KEITHLEY 428) Magnification setting and background current adjustment. In the data acquisition system, the output current of the front and rear ionization chambers is weak The signal is amplified by the preamplifier and converted into a voltage signal and sent to the V/F converter to be converted into a pulse signal proportional to the frequency. It is then counted by the scaler and fed into the computer. The input signal range of the V/F converter is 0-10V. There is a signal circuit in the control cabinet The voltage monitoring unit displays the signal voltage value output by the preamplifier in real time, and there is an audio alarm when the voltage exceeds the range. if The magnification setting is inappropriate. When the experiment changes the energy range or due to changes in signal voltage during the spectrum collection process, overshoot may occur. range, causing spectrum collection to fail. On the other hand, in the weak signal area, the system nonlinearity increases and the noise influence also becomes larger, so the amplifier The output signal of the amplifier should not be below the 0.01V level. Based on the above reasons, before officially collecting spectrum, set the preamplifier appropriately. The amplifier magnification is a very critical step. •Set up the preamplifier While running the thickness test in the XAFS data acquisition software package to adjust the sample thickness, attention should be paid to the According to the display of the signal voltage monitoring unit, during the entire thickness test scanning process, the maximum value of the two signals should be between 0.8-9V. time, if the value is less than this value, the amplification factor of the preamplifier should be increased, otherwise it should be decreased. 6) Collect music scores For the operation of the spectrum acquisition software, please refer to the Beijing Synchrotron Radiation XAFS Experiment Station Spectrum Acquisition Program Instructions (Appendix 1) for experimental parameters. Here are some additions to the settings section. •Principles for selecting absorbing edges The photon energy scanning range provided by this experimental station is 4.8~22.8keV (due to the absorption of low-energy X-rays in the air To collect heavier, low-concentration Ti/Cs samples, it is recommended to go to Zhongneng Station 4B7A). Generally, the spectral range of XAFS experiments is between Around 1keV, when selecting the absorption edge of the test element, the K edge is first considered. If the spectrum range exceeds 4.8~22.8keV, Or if the spectrum range overlaps with the absorption edge of other elements in the sample, the L edge must be considered. Among L sides, select at least the following number of sides There is no overlap within the range of hundreds of eV. According to this principle, the LIII side is generally taken. •Set sampling time The longer the sampling time, the smaller the statistical error of spectrum collection, but the entire spectrum collection time is lengthened. Light intensity and sampling time are affected by There are two factors that affect the statistical error of the data. Based on the light intensity of this beamline, a sampling time of 1 to 2 seconds is generally available in transmission mode.",rel_type withrel_name Not the same
relation_label_mismatch,26,1W1B-XAFS Experiment Station,Equipment parameters,Main parameters and equipment of 1W1B-XAFS beam line and experimental station,"Energy range available for experiments: 4.8 — 22.8 keV Energy resolution: <1-3 × 10-4 @ 9 keV Luminous flux at sample: >1×1011photons/s @ 10 keV; Isr = 250 mA@2.5GeV Spot size at sample (FWHM): 1(H) ×0.5(V) mm2 Flow type ionization chamber (detector): Gas: pure nitrogen, pure argon, nitrogen-argon mixture Ionization chamber length: 31cm/17cm/5cm Working voltage: 2200V/2200V/1000V Fluorescence ionization chamber (detector): Lyttle Fluorescence Ionization Chamber Detector 19 yuan high purity germanium semiconductor array detector Low temperature sample room Temperature control range: 10 - 300 K",rel_type withrel_name Not the same
relation_label_mismatch,45,1W1A-Diffuse Scattering Experiment Station,Sample preparation,GIWAXS Batch Test Sample Preparation/Preparation,"1 Size and material of sample Substrate size: It is recommended to be 10-20mm square and the thickness should not exceed 2mm. Substrate material: silicon wafer, quartz wafer, glass wafer can be used, the surface is required to be smooth, flat and hard. 2 Sample number Number all samples in advance, starting from the number 1, and write the numbers on the blank space of the plexiglass plate. 3 Pasting of samples Paste approximately 5-10mm square double-sided tape on the center of the back of the sample substrate and stick it on the sent plexiglass plate. Note: Please stick the sample on the correct side of the plexiglass plate as shown in the picture below (please pay attention to the arrangement direction of the three magnets, the current sticking side is opposite to the previous old version). Please place the three magnets as close to the center of the sample piece as possible. X-rays will be incident in the direction shown by the arrow in the figure. Note: The sample and the plexiglass plate must be firmly and tightly pasted! There must be no double-sided tape on the back of the sample holder, otherwise it may be adsorbed on the gripper of the manipulator. If the size of the sample is small, pay attention to the sticking position of the sample and be sure to cover the three magnets. If the size of the sample is not enough to cover the three magnets, the sample loading will fail. ; 4 Preparation of organic glass plate for pasting samples Remove the protective film on both sides of the plexiglass plate. Use transparent tape to stick one side of the plexiglass plate, and place this side on another plexiglass plate with magnets attached (a standard plate with magnets will be mailed). Place three magnets so that they can stick to the existing magnets below (if they cannot stick, put them in reverse). Wrap the magnet with tape and wrap it tightly twice (one circle is not enough, make sure it is tightly adhered). ; 5 Storage or mailing of batch samples An iron box (such as a pencil box) can be used, and the organic glass plate with the sample stuck on it can be sucked into the box. Note: There is no need to stick double-sided tape between the plexiglass plate and the iron box (the magnets on the plexiglass plate can already be firmly attached), otherwise it will affect the picking and placing, and the remaining double-sided tape may stick to the gripper of the robot. If express delivery is required, a soft protective layer can be added and the height of the iron box should be as short as possible. ; 1W1A-Diffuse Scattering Experiment Station-1W1A Diffuse Scattering Station GIWAXS",rel_type withrel_name Not the same
relation_label_mismatch,46,1W1A-Diffuse Scattering Experiment Station,Sample preparation,GIWAXS Batch Test Sample Preparation/Prepare Reference Connections,https://mp.weixin.qq.com/s/vujYkQMcIzOcaIMYjZ5Bqg,rel_type withrel_name Not the same
relation_label_mismatch,48,1W1A-Diffuse Scattering Experiment Station,Equipment,Main equipment of X-ray diffuse scattering experimental station,Five-circle diffractometer,rel_type withrel_name Not the same
relation_label_mismatch,49,1W1A-Diffuse Scattering Experiment Station,Equipment,Main equipment of X-ray diffuse scattering experimental station,detector system,rel_type withrel_name Not the same
relation_label_mismatch,52,1W1A-Diffuse Scattering Experiment Station,Experimental steps,General XRD experimental measurements,"After cutting the sample into the optical path in a similar sequence to the reflection measurement, the next step is to find the diffraction peak, which can be performed as follows (taking the single crystal Si wafer (004) sample as an example): Adjustment purpose: θ-2θ is placed at the diffraction peak of Si (004) Adjustment method: 1: Run the 2θ angle to 69.1 degrees, open the 2θ detector slit as large as possible, and add an absorption sheet to prevent detector saturation; 2: Do a θ scan, and an obvious diffraction peak can be observed near θ A. Then scan θ carefully near peak A to determine the peak A*, and place θ at the peak A*; 3: Scan the χ angle within a certain angle range to find the strongest diffraction position χ0, and place the sample at this position. 4: Set the 2θ detector slit to a suitable size, generally 0.2~0.5mm, add an appropriate absorption sheet in front of the detector, do a 2θ fine scan near 69 degrees, determine the peak B*, run the detector to the peak position B*, set 2θ to 69.1 degrees, and the adjustment is completed. [Note] Be sure to add an absorbing sheet when the 2θ detector slit is opened. After the above adjustment is completed, the incident X-rays, Si (004) crystal plane and the position of the detector meet the Bragg diffraction conditions. After the adjustment is completed, the user can conduct experiments according to their own experimental purposes.",rel_type withrel_name Not the same
