question_number,scenario_id,scoring_repeat,generation_repeat,workbook,sheet,scoring_model,condition,dimension,score
1,L1-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,7.0
1,L1-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,7.0
1,L1-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,6.0
1,L1-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,5.0
1,L1-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,6.0
1,L1-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,7.0
2,L1-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,8.0
2,L1-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,8.0
2,L1-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,8.0
2,L1-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,4.0
2,L1-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,6.0
2,L1-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
3,L1-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,8.0
3,L1-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,7.0
3,L1-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,8.0
3,L1-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,8.0
3,L1-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,7.0
3,L1-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,8.0
4,L1-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,7.0
4,L1-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,7.0
4,L1-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,8.0
4,L1-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,7.0
4,L1-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,8.0
4,L1-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,8.0
5,L1-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,9.0
5,L1-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,8.0
5,L1-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,10.0
5,L1-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,6.0
5,L1-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,7.0
5,L1-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,8.0
6,L1-6,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,8.0
6,L1-6,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,8.0
6,L1-6,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,8.0
6,L1-6,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,1.0
6,L1-6,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,1.0
6,L1-6,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,5.0
7,L2-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,10.0
7,L2-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,10.0
7,L2-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,9.0
7,L2-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,3.0
7,L2-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,4.0
7,L2-1,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
8,L2-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,9.0
8,L2-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,9.0
8,L2-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,8.0
8,L2-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,4.0
8,L2-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,5.0
8,L2-2,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,5.0
9,L2-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,4.0
9,L2-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,4.0
9,L2-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,6.0
9,L2-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,5.0
9,L2-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,6.0
9,L2-3,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
10,L2-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,10.0
10,L2-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,10.0
10,L2-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,9.0
10,L2-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,4.0
10,L2-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,4.0
10,L2-4,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
11,L2-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,10.0
11,L2-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,9.0
11,L2-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,8.0
11,L2-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,3.0
11,L2-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,5.0
11,L2-5,1,1,测试问题_GPT评分_1.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
