question_number,scenario_id,dimension,RAG,No RAG,difference_RAG_minus_NoRAG
1,L1-1,Correctness,5.555555555555555,4.333333333333333,1.2222222222222223
2,L1-2,Correctness,7.555555555555555,4.888888888888889,2.666666666666666
3,L1-3,Correctness,7.888888888888889,7.888888888888889,0.0
4,L1-4,Correctness,6.666666666666667,7.222222222222222,-0.5555555555555554
5,L1-5,Correctness,9.0,6.444444444444445,2.5555555555555554
6,L1-6,Correctness,7.222222222222222,1.8888888888888888,5.333333333333334
7,L2-1,Correctness,10.0,4.0,6.0
8,L2-2,Correctness,8.666666666666666,3.5555555555555554,5.111111111111111
9,L2-3,Correctness,3.888888888888889,4.222222222222222,-0.3333333333333335
10,L2-4,Correctness,10.0,3.3333333333333335,6.666666666666666
11,L2-5,Correctness,9.777777777777779,3.0,6.777777777777779
12,L2-6,Correctness,4.777777777777778,3.3333333333333335,1.4444444444444442
13,L3-1,Correctness,9.444444444444445,3.0,6.444444444444445
14,L3-2,Correctness,7.888888888888889,2.2222222222222223,5.666666666666667
15,L3-3,Correctness,8.555555555555555,4.0,4.555555555555555
16,L3-4,Correctness,5.777777777777778,3.5555555555555554,2.2222222222222223
17,L3-5,Correctness,8.11111111111111,2.5555555555555554,5.555555555555555
18,L3-6,Correctness,6.333333333333333,4.222222222222222,2.1111111111111107
19,L4-1,Correctness,6.333333333333333,4.333333333333333,2.0
20,L4-2,Correctness,8.222222222222221,2.4444444444444446,5.777777777777777
21,L4-3,Correctness,5.222222222222222,2.888888888888889,2.3333333333333335
22,L4-4,Correctness,4.111111111111111,4.222222222222222,-0.1111111111111116
23,L4-5,Correctness,6.888888888888889,3.3333333333333335,3.555555555555556
24,L4-6,Correctness,6.444444444444445,2.0,4.444444444444445
1,L1-1,Usefulness,5.555555555555555,5.666666666666667,-0.1111111111111116
2,L1-2,Usefulness,7.888888888888889,6.333333333333333,1.5555555555555562
3,L1-3,Usefulness,7.222222222222222,7.555555555555555,-0.33333333333333304
4,L1-4,Usefulness,7.111111111111111,8.0,-0.8888888888888893
5,L1-5,Usefulness,8.11111111111111,7.444444444444445,0.6666666666666661
6,L1-6,Usefulness,7.777777777777778,2.5555555555555554,5.222222222222222
7,L2-1,Usefulness,9.88888888888889,5.111111111111111,4.777777777777779
8,L2-2,Usefulness,8.666666666666666,4.333333333333333,4.333333333333333
9,L2-3,Usefulness,4.333333333333333,4.777777777777778,-0.44444444444444464
10,L2-4,Usefulness,10.0,3.7777777777777777,6.222222222222222
11,L2-5,Usefulness,8.555555555555555,4.666666666666667,3.8888888888888884
12,L2-6,Usefulness,5.0,4.444444444444445,0.5555555555555554
13,L3-1,Usefulness,8.444444444444445,4.111111111111111,4.333333333333334
14,L3-2,Usefulness,7.888888888888889,3.2222222222222223,4.666666666666667
15,L3-3,Usefulness,8.666666666666666,5.222222222222222,3.4444444444444438
16,L3-4,Usefulness,5.0,4.666666666666667,0.33333333333333304
17,L3-5,Usefulness,8.0,3.6666666666666665,4.333333333333334
18,L3-6,Usefulness,6.777777777777778,5.777777777777778,1.0
19,L4-1,Usefulness,7.333333333333333,5.777777777777778,1.5555555555555554
20,L4-2,Usefulness,8.11111111111111,2.7777777777777777,5.333333333333333
21,L4-3,Usefulness,5.444444444444445,3.5555555555555554,1.8888888888888893
22,L4-4,Usefulness,5.0,6.111111111111111,-1.1111111111111107
23,L4-5,Usefulness,7.888888888888889,4.555555555555555,3.333333333333334
24,L4-6,Usefulness,6.0,3.0,3.0
1,L1-1,Safety,6.333333333333333,6.444444444444445,-0.1111111111111116
2,L1-2,Safety,7.555555555555555,6.555555555555555,1.0
3,L1-3,Safety,7.111111111111111,7.222222222222222,-0.1111111111111116
4,L1-4,Safety,6.888888888888889,7.0,-0.11111111111111072
5,L1-5,Safety,9.444444444444445,8.333333333333334,1.1111111111111107
6,L1-6,Safety,8.666666666666666,5.888888888888889,2.777777777777777
7,L2-1,Safety,8.88888888888889,6.222222222222222,2.666666666666667
8,L2-2,Safety,7.777777777777778,4.777777777777778,3.0
9,L2-3,Safety,5.666666666666667,5.666666666666667,0.0
10,L2-4,Safety,9.777777777777779,5.333333333333333,4.4444444444444455
11,L2-5,Safety,8.0,5.555555555555555,2.4444444444444446
12,L2-6,Safety,7.888888888888889,6.444444444444445,1.4444444444444446
13,L3-1,Safety,7.444444444444445,5.666666666666667,1.7777777777777777
14,L3-2,Safety,6.888888888888889,5.555555555555555,1.333333333333334
15,L3-3,Safety,7.888888888888889,6.666666666666667,1.2222222222222223
16,L3-4,Safety,6.0,5.666666666666667,0.33333333333333304
17,L3-5,Safety,7.555555555555555,5.333333333333333,2.2222222222222223
18,L3-6,Safety,7.555555555555555,6.555555555555555,1.0
19,L4-1,Safety,6.333333333333333,6.888888888888889,-0.5555555555555562
20,L4-2,Safety,7.555555555555555,4.777777777777778,2.7777777777777777
21,L4-3,Safety,6.0,3.6666666666666665,2.3333333333333335
22,L4-4,Safety,6.888888888888889,6.111111111111111,0.7777777777777786
23,L4-5,Safety,6.777777777777778,5.444444444444445,1.333333333333333
24,L4-6,Safety,7.777777777777778,5.444444444444445,2.333333333333333
