sub_name,sub_type,rel_type,rel_name,obj_name,obj_type
BSRF,北京同步辐射,束线,束线,1W1A-漫散射实验站,束线
BSRF,北京同步辐射,束线,束线,1W1B-XAFS实验站,束线
BSRF,北京同步辐射,束线,束线,1W2A-小角散射实验站,束线
BSRF,北京同步辐射,束线,束线,1W2B-综合实验站,束线
BSRF,北京同步辐射,束线,束线,3W1-高能实验站,束线
BSRF,北京同步辐射,束线,束线,1B3-光刻、LIGA实验站,束线
BSRF,北京同步辐射,束线,束线,4W1A-X射线成像站,束线
BSRF,北京同步辐射,束线,束线,4W1B-X射线荧光微分析实验站,束线
BSRF,北京同步辐射,束线,束线,4W2-高压实验站,束线
BSRF,北京同步辐射,束线,束线,4B8-真空紫外实验站,束线
BSRF,北京同步辐射,束线,束线,4B7A-中能实验站,束线
BSRF,北京同步辐射,束线,束线,4B7B-软X光实验站,束线
BSRF,北京同步辐射,束线,束线,4B9A-衍射站,束线
BSRF,北京同步辐射,束线,束线,4B9B-光电子能谱实验站,束线
1W1A-漫散射实验站,1W1A实验站,研究领域,研究领域,晶体材料薄膜、多层膜纳米材料,研究领域
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,X射线共面衍射,实验技术
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,X射线共面散射,实验技术
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,X射线掠入射衍射,实验技术
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,X射线掠入射散射,实验技术
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,X射线反射率（XRR）,实验技术
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,非镜面散射,实验技术
1W1A-漫散射实验站,1W1A实验站,实验技术,实验技术,掠入射小角 X 射线散射（GiSAXS ）,实验技术
1W1A-漫散射实验站,1W1A实验站,能量范围,光斑参数,8.05 keV(不可调),光斑参数
1W1A-漫散射实验站,1W1A实验站,能量分辨率,光斑参数,能量分辨率（△E/E）<4.4×10-4 @ 8.05 keV,光斑参数
1W1A-漫散射实验站,1W1A实验站,样品处光子通量,光斑参数,样品处光子通量（phs/s）>1×1011 @ 8.05 keV,光斑参数
1W1A-漫散射实验站,1W1A实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：1(H)×0.4(V) mm2,光斑参数
1W1A-漫散射实验站,1W1A实验站,线站状态,线站状态,正常运行,线站状态
1W1B-XAFS实验站,1W1B实验站,研究领域,研究领域,材料科学、纳米科学、生物医学、环境科学、化学化工、能源催化、人文考古,研究领域
1W1B-XAFS实验站,1W1B实验站,实验技术,实验技术,透射XAFS,实验技术
1W1B-XAFS实验站,1W1B实验站,实验技术,实验技术,荧光XAFS,实验技术
1W1B-XAFS实验站,1W1B实验站,能量范围,光斑参数,能量范围：4-23 keV，，,光斑参数
1W1B-XAFS实验站,1W1B实验站,能量分辨率,光斑参数,能量分辨率（△E/E）<1-3×10-4 @ 9 keV,光斑参数
1W1B-XAFS实验站,1W1B实验站,样品处光子通量,光斑参数,样品处光子通量（phs/s）>4×1011 @ 9 keV，2.5 GeV，200 mA，,光斑参数
1W1B-XAFS实验站,1W1B实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸： 0.9(H)×0.3(V)mm2,光斑参数
1W1B-XAFS实验站,1W1B实验站,线站状态,线站状态,正常运行,线站状态
1W2A-小角散射实验站,1W2A实验站,研究领域,研究领域,纳米材料、介孔材料、生物大分子、高聚物等,研究领域
1W2A-小角散射实验站,1W2A实验站,实验技术,实验技术,透射小角X射线散射（SAXS）,实验技术
1W2A-小角散射实验站,1W2A实验站,实验技术,实验技术,广角X射线散射（WAXS）,实验技术
1W2A-小角散射实验站,1W2A实验站,实验技术,实验技术,SAXS - WAXS同时测量,实验技术
1W2A-小角散射实验站,1W2A实验站,实验技术,实验技术,掠入射小角 X 射线散射（GiSAXS ）,实验技术
1W2A-小角散射实验站,1W2A实验站,实验技术,实验技术,广角X射线散射（WAXS）,实验技术
1W2A-小角散射实验站,1W2A实验站,小角散射分辨率,光斑参数,小角散射分辨率：200 nm,光斑参数
1W2A-小角散射实验站,1W2A实验站,角分辨率,光斑参数,角分辨率：0.5 mrad,光斑参数
1W2A-小角散射实验站,1W2A实验站,入射X射线波长,光斑参数,入射X射线波长1.54 Å,光斑参数
1W2A-小角散射实验站,1W2A实验站,能量分辨率,光斑参数,能量分辨率（△E/E）～1×10-3,光斑参数
1W2A-小角散射实验站,1W2A实验站,样品处光子通量,光斑参数,样品处光子通量（phs/s） ≥1×1011,光斑参数
1W2A-小角散射实验站,1W2A实验站,样品至探测器距离,光斑参数,样品至探测器距离：0.5～5.0 m 分级可调,光斑参数
1W2A-小角散射实验站,1W2A实验站,探测器上光斑尺寸,光斑参数,探测器上光斑尺寸：1.4 × 0.2 mm2,光斑参数
1W2A-小角散射实验站,1W2A实验站,光束发散度 ,光斑参数,光束发散度 ≤0.6 mrad,光斑参数
1W2A-小角散射实验站,1W2A实验站,线站状态,线站状态,停止运行,线站状态
1W2B-综合实验站,1W2B实验站,研究领域,研究领域,多方法实验技术的发展、常规吸收谱学、基于高性能探测器的方法学研究,研究领域
1W2B-综合实验站,1W2B实验站,实验技术,实验技术,X射线吸收精细结构（XAFS）,实验技术
1W2B-综合实验站,1W2B实验站,实验技术,实验技术,激光pump - X光probe时间分辨实验,实验技术
1W2B-综合实验站,1W2B实验站,实验技术,实验技术,XAFS/XRD联用实验,实验技术
1W2B-综合实验站,1W2B实验站,实验技术,实验技术,SAXS/WAXS/XAFS联用实验,实验技术
1W2B-综合实验站,1W2B实验站,能量范围,光斑参数,能量范围：5-18 keV,光斑参数
1W2B-综合实验站,1W2B实验站,能量分辨率,光斑参数,能量分辨率(△E/E)优于4×10-4,光斑参数
1W2B-综合实验站,1W2B实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：1012,光斑参数
1W2B-综合实验站,1W2B实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸： 1(H)×0.6(V) mm2,光斑参数
1W2B-综合实验站,1W2B实验站,线站状态,线站状态,正常运行,线站状态
3W1-高能实验站,3W1实验站,研究领域,研究领域,高能X射线设备和技术验证,研究领域
3W1-高能实验站,3W1实验站,实验技术,实验技术,成像（白光&单色光）,实验技术
3W1-高能实验站,3W1实验站,实验技术,实验技术,高能动态衍射PDF,实验技术
3W1-高能实验站,3W1实验站,能量范围,光斑参数,能量范围：40-80 keV 白光,光斑参数
3W1-高能实验站,3W1实验站,能量分辨率,光斑参数,能量分辨率(△E/E)～0.16% @ 50 keV,光斑参数
3W1-高能实验站,3W1实验站,样品处光子通量,光斑参数,样品处光子通量(phs/s)：6.54×1010 @ 50 keV 2.56×1013 @ 白光,光斑参数
3W1-高能实验站,3W1实验站,样品处光斑尺寸,光斑参数,样品处光斑尺寸：3×3 mm2 @ 50 keV 9.37×2.47 mm2 @ 白光,光斑参数
3W1-高能实验站,3W1实验站,线站状态,线站状态,停止运行,线站状态
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,研究内容,研究内容,X射线光学元件研制，如光栅，折射透镜等,研究领域
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,实验技术,实验技术,纳米光刻,实验技术
1B3-光刻、LIGA实验站,1B3-光刻、LIGA实验站,实验技术,实验技术,深度X射线光刻,实验技术
