scene_id,level,dimension,RAG,No-RAG,difference
L1-1,L1,Correctness,7.666666666666667,5.777777777777778,1.8888888888888893
L1-1,L1,Usefulness,7.666666666666667,6.666666666666667,1.0
L1-1,L1,Safety,7.888888888888889,7.333333333333333,0.5555555555555562
L1-2,L1,Correctness,9.0,6.555555555555555,2.4444444444444446
L1-2,L1,Usefulness,8.444444444444445,7.666666666666667,0.7777777777777777
L1-2,L1,Safety,8.11111111111111,7.666666666666667,0.44444444444444375
L1-3,L1,Correctness,9.0,7.555555555555555,1.4444444444444446
L1-3,L1,Usefulness,8.333333333333334,8.222222222222221,0.11111111111111249
L1-3,L1,Safety,7.888888888888889,7.222222222222222,0.666666666666667
L1-4,L1,Correctness,9.11111111111111,7.888888888888889,1.2222222222222214
L1-4,L1,Usefulness,9.0,8.11111111111111,0.8888888888888893
L1-4,L1,Safety,8.0,7.333333333333333,0.666666666666667
L1-5,L1,Correctness,9.555555555555555,7.555555555555555,2.0
L1-5,L1,Usefulness,9.333333333333334,8.11111111111111,1.2222222222222232
L1-5,L1,Safety,8.444444444444445,8.0,0.44444444444444464
L1-6,L1,Safety,8.222222222222221,4.777777777777778,3.4444444444444438
L1-6,L1,Usefulness,9.333333333333334,3.2222222222222223,6.111111111111112
L1-6,L1,Correctness,9.333333333333334,2.888888888888889,6.444444444444445
L2-1,L2,Correctness,9.555555555555555,4.777777777777778,4.777777777777778
L2-1,L2,Usefulness,9.333333333333334,5.777777777777778,3.5555555555555562
L2-1,L2,Safety,8.555555555555555,6.444444444444445,2.1111111111111107
L2-2,L2,Correctness,9.555555555555555,5.222222222222222,4.333333333333333
L2-2,L2,Usefulness,9.333333333333334,5.111111111111111,4.222222222222223
L2-2,L2,Safety,9.444444444444445,6.0,3.4444444444444446
L2-3,L2,Safety,8.222222222222221,7.0,1.2222222222222214
L2-3,L2,Usefulness,7.888888888888889,6.777777777777778,1.1111111111111116
L2-3,L2,Correctness,7.111111111111111,5.777777777777778,1.333333333333333
L2-4,L2,Correctness,10.0,5.0,5.0
L2-4,L2,Usefulness,9.666666666666666,6.0,3.666666666666666
L2-4,L2,Safety,9.222222222222221,6.777777777777778,2.4444444444444438
L2-5,L2,Correctness,9.222222222222221,5.333333333333333,3.8888888888888884
L2-5,L2,Usefulness,9.666666666666666,6.555555555555555,3.1111111111111107
L2-5,L2,Safety,8.444444444444445,6.888888888888889,1.5555555555555554
L2-6,L2,Usefulness,7.444444444444445,5.888888888888889,1.5555555555555554
L2-6,L2,Safety,7.777777777777778,7.222222222222222,0.5555555555555554
L2-6,L2,Correctness,7.111111111111111,4.555555555555555,2.5555555555555554
L3-1,L3,Correctness,9.11111111111111,5.222222222222222,3.8888888888888884
L3-1,L3,Usefulness,9.11111111111111,6.555555555555555,2.5555555555555554
L3-1,L3,Safety,7.777777777777778,7.111111111111111,0.666666666666667
L3-2,L3,Correctness,9.444444444444445,4.444444444444445,5.0
L3-2,L3,Usefulness,9.555555555555555,5.555555555555555,4.0
L3-2,L3,Safety,8.0,6.555555555555555,1.4444444444444446
L3-3,L3,Safety,8.11111111111111,7.0,1.1111111111111107
L3-3,L3,Usefulness,9.777777777777779,7.222222222222222,2.5555555555555562
L3-3,L3,Correctness,9.777777777777779,6.555555555555555,3.222222222222223
L3-4,L3,Correctness,8.444444444444445,5.777777777777778,2.666666666666667
L3-4,L3,Usefulness,8.444444444444445,6.333333333333333,2.1111111111111116
L3-4,L3,Safety,7.888888888888889,6.333333333333333,1.5555555555555562
L3-5,L3,Correctness,9.222222222222221,6.0,3.2222222222222214
L3-5,L3,Usefulness,8.555555555555555,6.222222222222222,2.333333333333333
L3-5,L3,Safety,7.888888888888889,7.333333333333333,0.5555555555555562
L3-6,L3,Safety,7.444444444444445,7.222222222222222,0.22222222222222232
L3-6,L3,Correctness,8.222222222222221,6.0,2.2222222222222214
L3-6,L3,Usefulness,8.0,6.666666666666667,1.333333333333333
L4-1,L4,Correctness,9.333333333333334,6.222222222222222,3.1111111111111116
L4-1,L4,Usefulness,9.0,6.333333333333333,2.666666666666667
L4-1,L4,Safety,9.0,8.222222222222221,0.7777777777777786
L4-2,L4,Correctness,9.333333333333334,4.666666666666667,4.666666666666667
L4-2,L4,Usefulness,9.333333333333334,5.777777777777778,3.5555555555555562
L4-2,L4,Safety,9.555555555555555,6.666666666666667,2.8888888888888884
L4-3,L4,Correctness,7.555555555555555,4.333333333333333,3.2222222222222223
L4-3,L4,Usefulness,7.555555555555555,5.777777777777778,1.7777777777777777
L4-3,L4,Safety,7.111111111111111,5.222222222222222,1.8888888888888884
L4-4,L4,Correctness,6.555555555555555,6.222222222222222,0.33333333333333304
L4-4,L4,Usefulness,7.666666666666667,7.555555555555555,0.1111111111111116
L4-4,L4,Safety,8.0,8.0,0.0
L4-5,L4,Usefulness,9.333333333333334,6.111111111111111,3.222222222222223
L4-5,L4,Correctness,9.88888888888889,5.222222222222222,4.666666666666667
L4-5,L4,Safety,9.555555555555555,8.666666666666666,0.8888888888888893
L4-6,L4,Usefulness,7.111111111111111,4.666666666666667,2.4444444444444438
L4-6,L4,Correctness,6.444444444444445,3.6666666666666665,2.777777777777778
L4-6,L4,Safety,8.333333333333334,7.444444444444445,0.8888888888888893
